NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
10060002002,298.99,-27.84,16962.9,Deep_background_SCP
10060004002,341.58,15.49,30479.8,PKS1552m331_field
30001004004,332.28,23.88,60545.6,Cen_X4
30001027003,243.45,45.74,33468.0,PSRJ1023p0038
30001027005,243.46,45.74,47678.6,PSRJ1023p0038
30001031002,144.31,32.72,30960.1,HolmbergII_X1
30001031003,144.29,32.76,78768.7,HolmbergII_X1
30001031005,144.28,32.75,110298.8,HolmbergII_X1
30001061006,253.41,-41.94,61696.8,PSRJ0437m4715
30001120003,45.28,-24.41,35918.3,AE_Aqr
30001120004,45.27,-24.41,70133.4,AE_Aqr
30001120005,45.26,-24.41,8756.8,AE_Aqr
30002032002,138.14,10.53,20668.7,IC342_X1
30002032003,138.12,10.55,97426.9,IC342_X1
30002032005,138.12,10.55,125564.5,IC342_X1
30002033002,141.93,41.08,30900.0,M81_X9
30002033003,141.93,41.09,87536.6,M81_X9
30002033005,141.90,41.09,40429.9,M81_X9
30002033006,141.93,41.07,34944.8,M81_X9
30002033008,141.92,41.08,14239.0,M81_X9
30002033010,141.92,41.08,48471.1,M81_X9
30002034004,141.92,41.06,60441.8,HolmbergIX_X1
30002034006,141.95,41.05,49316.6,HolmbergIX_X1
30002034008,141.98,41.06,56318.6,HolmbergIX_X1
30002039002,91.47,51.08,44695.5,NGC5907_ULX1
30002039003,91.48,51.09,67881.5,NGC5907_ULX1
30002039005,91.49,51.09,111536.4,NGC5907_ULX1
30101034002,328.74,-12.42,68841.5,IGR_J17062m6143
30101046002,42.33,48.18,75574.5,T_CrB
30101057002,48.87,-36.94,42143.5,PSR_J2129m0429
30102028004,353.03,16.64,46852.8,Rho_Oph
30201011002,74.73,15.85,27850.9,MV_Lyr
30201018002,328.69,-12.38,66039.8,IGR_J17062m6143
30201025002,160.27,20.94,39429.1,SU_Lyn
30202022002,141.44,40.56,38285.5,M82_ULXS
30202022004,141.45,40.57,46354.3,M82_ULXS
30202022008,141.44,40.58,42006.7,M82_ULXS
30202022010,141.43,40.59,43720.9,M82_ULXS
40001014006,279.69,-31.90,53430.1,SN1987A
40001014012,279.65,-31.96,18952.8,SN1987A
40001014022,279.65,-31.95,46472.4,SN1987A
40002092001,225.35,42.30,45725.8,SN2010jl
40101015004,279.62,-31.90,25352.5,30_Dor_C
40102014001,93.77,-20.74,21043.7,SN2014C
40102014003,93.71,-20.71,27575.7,SN2014C
50001039002,269.45,19.01,22789.1,IC2560
50001039004,269.40,19.01,49272.4,IC2560
50002019002,141.38,40.53,30688.6,M82
50002019004,141.39,40.53,159071.9,M82
50002031004,98.07,-87.97,156988.2,NGC253
50002041003,141.92,55.37,59400.9,Arp299
50002042002,277.34,11.75,168744.0,NGC3256
50002043002,314.55,31.98,41979.5,M83
50026003002,121.70,-21.28,106610.8,M31_MOS003
50101003002,20.72,69.15,78373.3,NuJ1418p2102
50101005002,189.93,74.04,26262.9,NuJ1141p3216
50110002002,121.52,-21.48,32112.6,M31_Field_B
50110002006,121.52,-21.48,37064.4,M31_Field_B
50110003002,121.71,-21.30,90094.8,M31_Field_C
50111003002,121.74,-21.27,103423.6,M31_Field_C
50310002001,133.55,-31.35,101598.7,M33_MOS02
50310002003,133.58,-31.37,99579.1,M33_MOS02
50311002002,302.99,-43.87,167724.4,SMC_Deep_MOS02
50311002006,303.03,-43.85,29424.2,SMC_Deep_MOS02
50311003004,302.80,-44.65,86488.8,SMC_Deep_MOS03
60001001002,92.57,-10.47,21610.7,BL_Lac
60001041002,108.79,-41.42,20879.5,Mkn335
60001041003,108.79,-41.41,21156.0,Mkn335
60001041005,108.80,-41.41,92401.4,Mkn335
60001044002,201.70,-21.15,55013.0,Ark120
60001044004,201.70,-21.16,65055.3,Ark120
60001047002,313.32,27.68,22983.0,MCGm6m30m15
60001050002,148.95,70.08,9147.7,NGC4051
60001050003,149.00,70.07,45290.9,NGC4051
60001050005,148.82,70.12,9334.6,NGC4051
60001050006,148.83,70.13,48773.4,NGC4051
60001061002,125.57,-62.34,21568.1,SDSSJ005621d72p003235d8
60001063002,237.62,-53.95,19616.5,NGC1386
60001065002,102.24,-60.34,17987.2,SDSSJ001111d97p005626d3
60001067002,180.97,43.64,14774.3,IRAS09104p4109
60001068002,152.51,42.88,17552.4,UGC05101
60001069002,231.70,38.75,20379.4,Mrk1419
60001071002,134.89,55.81,21388.0,SDSS1157p6003
60001080002,108.98,19.55,18789.7,4C74d26
60001080004,108.98,19.55,56004.1,4C74d26
60001088002,183.44,40.98,23711.7,IRAS_08572p3915
60001090002,212.47,64.65,24348.7,IRAS_10565p2448
60001092002,326.08,20.82,23987.7,IRAS_14378m3651
60001098002,121.60,18.79,29567.0,S50014p81
60001099002,17.06,-50.77,38215.6,PKS2149m306
60001099004,17.11,-50.81,43938.8,PKS2149m306
60001100004,267.39,74.30,48679.7,PG_1211p143
60001100005,267.45,74.31,63423.5,PG_1211p143
60001101002,151.80,-38.83,31434.7,B0222p185
60001101004,151.79,-38.82,37127.4,B0222p185
60001103002,75.87,64.94,48823.6,GBB1428p4217
60001107002,207.03,57.63,59103.1,B2_1023p25
60001108002,166.95,82.75,22805.1,F2M1227p3214
60001109002,183.89,35.03,21345.4,F2M0830p3759
60001112002,225.13,49.16,29838.0,PG1004p130
60001113002,78.99,37.80,76633.2,PG1700p518
60001114002,61.20,22.02,21062.7,W1814p3412
60001115002,78.22,-28.68,20509.5,W2207p1939
60001119002,120.25,-58.65,19798.2,PG0043p039
60001120002,151.20,32.08,27495.4,IRAS_07598p6508
60001121002,85.42,67.96,25701.4,IRAS_14026p4341
60001122002,234.14,44.61,19340.7,PG_1001p054
60001123002,306.46,67.29,28745.9,PG_1254p047
60001124002,197.82,50.26,34530.4,PG_0946p301
60001130002,295.10,-57.89,48547.9,Fairall_9
60001130003,295.06,-57.85,93381.7,Fairall_9
60001131002,180.90,29.19,44843.6,SDSSJ0758p3923
60001132002,183.50,37.09,46690.5,SDSSJ0840p3838
60001134002,148.71,49.71,23631.7,SDSSJ1034p6001
60001135002,138.67,69.00,38773.0,SDSSJ1218p4706
60001136002,298.92,60.27,50644.1,SDSSJ1243m0232
